ID,Dominant,Attempts,Duration,Time,AreaError,TimeTriangles_1,TimeTriangles_2,TimeTriangles_3,TimeTriangles_4,TimeTriangles_5,Distance,LeaveSurface,Side,TimeContact,ZeroVel,ZeroAcc,PC
11,1,2,10,16.905,207.8655637,6361,3754,2574,2515,5000,4.833621146,1,1,16.865,2.43,1.035,1
11,0,2,10,18.565,162.1732881,5640,4109,3155,5233,4328,5.542535993,5,1,18.085,1.195,0.665,1
12,1,2,4,46.64,127.6813024,11588,16207,6697,7133,6279,4.539432473,1,1,46.33,2.475,6.335,1
12,0,2,4,37.885,175.8321395,4396,3667,1117,15482,13286,5.110178496,1,1,36.14,0.505,4.255,1
13,1,2,2.5,81.49,218.3293668,16425,10390,15891,11515,33968,5.695630211,16,1,77.07,13.8,8.725,1
13,0,2,2.5,56.03,212.8610473,13543,5375,12064,9283,19407,5.268572425,2,1,55.015,6.515,5.66,1
14,1,2,5,42.065,185.606489,17956,8154,8560,5767,5906,4.879980967,1,2,42.04,6.855,3.58,1
14,0,2,5,48.62,155.7209329,11584,9181,11459,8282,13624,4.897160767,1,2,48.45,7.65,4.615,1
15,1,2,15,17.035,195.1866413,4249,3095,4750,3020,3261,5.080470598,2,1,16.585,1.925,0.98,1
15,0,2,15,22.18,280.9601104,8121,4609,3628,4126,4390,4.810308921,1,1,22.13,2.81,1.66,1
16,1,2,5.5,28.61,139.4611818,8095,5732,7627,5875,4313,4.741701407,1,1,28.58,4.49,2.55,1
16,0,2,5.5,30.325,142.9032669,9987,1812,2828,6250,13842,5.644806384,2,1,28.77,4.085,3.205,1
17,1,2,2,41.495,109.7487935,10316,8423,9847,7448,9780,4.693533409,1,1,41.37,7.8,4.885,1
17,0,2,2,52.45,162.0752065,19296,10530,11174,7625,9407,4.788881182,1,1,52.325,10.3,6.475,1
18,1,2,11.5,45.585,105.095672,9672,8966,6082,11730,9768,4.90755796,1,1,44.68,4.79,5.27,1
18,0,2,11.5,70.27,89.36059459,20286,13372,12047,13891,15530,4.835031084,1,1,70.2,8.61,10.375,1
19,1,2,5.5,34.715,80.89646549,5920,7096,6734,10386,6266,4.962683064,3,2,34.5,3.7,3.395,1
19,0,2,5.5,31.995,249.5713037,4250,5595,4687,10015,7205,5.046163258,1,2,31.63,1.945,2.6,1
20,1,2,7,23.115,208.7901385,4168,5546,4704,4499,4832,4.746063189,1,1,23.035,1.785,1.655,1
20,0,2,7,35.1,146.9145683,9939,5107,11471,3094,3671,5.623786202,1,1,34.8,2.475,2.56,1
21,1,2,7,32.675,126.9614357,7066,5779,5488,7060,8373,4.709800809,1,1,31.59,3.98,3.185,1
21,0,2,7,43.89,132.0654735,9377,8826,7122,5972,9484,5.519459529,1,1,40.555,6.87,5.335,1
22,1,2,2,27.1,169.1666081,6076,5297,5281,4951,6081,4.645928686,1,1,27.04,1.985,2.005,1
22,0,2,2,34.86,152.6872694,8783,8362,6265,6202,5671,4.744968219,1,1,34.82,2.115,3.135,1
2,1,2,8,33.675,159.5219931,9964,5189,3844,6985,8799,5.530178173,1,1,32.425,4.38,2.645,1
2,0,2,8,33.52,202.478321,10700,7031,7202,4529,5226,5.077872167,4,1,33.18,3.365,2.195,1
23,1,2,6,55.685,118.2193641,14723,14370,9923,11015,8969,4.760513569,3,2,54.51,6.375,7.18,1
23,0,2,6,64.04,147.6283338,12419,12482,12922,15785,11436,4.607352931,1,2,63.985,5.81,7.335,1
24,1,2,4,34.44,95.91061894,6595,6295,5954,8564,7577,4.314505928,1,1,34.43,1.665,3.88,1
24,0,2,4,56.39,116.9542667,15704,9671,9422,11967,10534,4.485150212,1,1,56.365,3.11,7.59,1
25,1,2,3.5,30.555,169.1722785,6826,6928,3545,5909,8512,4.98326462,3,1,29.715,3.5,2.925,1
25,0,2,3.5,43.12,141.033592,9770,13637,6907,8814,6718,4.569689713,2,1,42.935,7.705,4.065,1
26,1,2,2.5,100.71,113.144926,26157,20984,11228,26718,20975,4.276353387,1,1,99.615,19.065,17.495,1
26,0,2,2.5,67.585,113.6731778,21924,12336,13578,14258,10902,4.179629635,1,1,67.46,8.4,11.11,1
27,1,2,6.5,18.475,313.5909075,5435,2736,2408,2377,3176,4.083873109,3,1,13.14,1.855,1.425,1
27,0,2,6.5,20,228.8166907,5293,4950,4692,3221,3089,4.312123141,2,1,19.575,1.57,1.26,1
28,1,2,9,66.11,162.5325879,19413,15606,5145,13651,14567,4.453061896,3,1,65.63,7.535,10.02,1
28,0,2,9,103.96,157.5680215,27492,24698,16053,19036,19696,5.12088906,22,1,92.845,21.045,18.275,1
29,1,2,12,67.465,121.2311928,14630,24760,10985,14207,12403,4.601297533,6,2,65.615,12.47,8.56,1
29,0,2,12,75.685,84.78674349,17253,12535,11256,18855,23955,4.242421656,1,2,75.605,16.63,11.225,1
30,1,2,2.5,23.925,160.161858,5096,3650,2907,6494,6768,4.414180578,2,1,23.305,2.01,1.88,1
30,0,2,2.5,31.29,145.4151743,3071,6002,5888,9613,6895,4.354440479,1,1,31.065,2.685,3.405,1
31,1,2,2.5,38.315,118.7718966,7433,5697,9116,9365,8012,4.715581092,1,1,37.11,5.26,5.23,1
31,0,2,2.5,43.07,164.5880983,8964,10535,7358,10488,7235,4.146146338,1,1,43.025,3.905,5.42,1
32,1,2,3,60.575,136.590633,13891,15249,9059,15055,12242,4.129227885,1,1,60.355,7.915,9.385,1
32,0,2,3,65.755,102.0550729,17452,13656,12310,13815,11141,4.147548275,1,1,65.61,8.05,9.815,1
3,1,2,3,20.095,148.8279623,3793,3500,3287,6308,3644,4.867352551,2,1,19.745,1.23,0.895,1
3,0,2,3,22.82,265.7744532,7264,8012,1515,1971,4031,5.289937242,1,1,21.345,2.185,1.7,1
33,1,2,3,39.625,118.6224898,6618,13119,3271,3677,9624,4.939012735,1,1,37.465,5.095,5.21,1
33,0,2,3,39.385,135.7889625,9316,4174,4409,12499,9985,4.982972526,1,1,39.18,4.64,5.79,1
34,1,2,10,97.04,149.4579817,18602,22959,12941,23684,23586,4.366355237,4,1,95.66,18.215,15.605,1
34,0,2,10,116.375,115.0453274,38682,21113,22631,24925,18300,4.269375597,1,1,116.28,26.885,20.525,1
35,1,2,0.5,74,137.3866706,19121,13214,14646,14684,15758,4.188490651,2,2,73.5,12.835,10.84,1
35,0,2,0.5,83.24,128.9775811,22613,13836,12814,23672,20275,4.198609456,1,2,83.155,20.545,13.365,1
38,1,2,14,26.145,152.9712538,5799,5289,9915,4538,4470,4.566778022,3,1,24.265,3.75,2.54,1
38,0,2,14,44.24,156.1738098,10837,14117,6231,8176,6935,4.991849342,2,1,40.605,7.33,5.68,1
39,1,2,12.5,30.595,130.4667959,6479,8940,5709,7249,3030,4.844499519,1,1,28.86,4.085,3.1,1
39,0,2,12.5,36.155,157.4711263,4196,15183,15222,2323,2321,4.837512453,1,1,35.705,6.815,3.515,1
40,1,2,3,31.79,197.9197089,9184,4654,4293,6389,7690,4.265727161,1,1,31.745,1.895,3.825,1
40,0,2,3,56.9,131.6642576,17095,13920,19961,2252,4981,4.750181712,1,1,56.64,3.305,8.51,1
41,1,2,15,19.18,184.885401,5360,3857,3513,4113,3875,4.083803755,1,1,19.135,2.5,1.55,1
41,0,2,15,21.15,208.6271721,4415,5438,4450,4628,4407,4.077821807,1,1,21.09,2.35,1.825,1
42,1,2,6.5,28.955,1486.561132,3531,12980,4331,6718,13562,3.802970337,4,1,26.935,5.86,4.155,1
42,0,2,6.5,51.495,279.1313217,15633,23384,10503,8968,4086,5.523261728,2,1,48.335,9.01,6.89,1
4,1,2,3.5,20.685,168.4030455,5865,4248,4039,4451,4342,4.900840234,1,1,20.65,2.755,1.435,1
4,0,2,3.5,14.7,345.6308816,3013,1641,1202,2857,7425,6.015625988,1,1,14.555,0.135,0.33,1
43,1,2,12.5,38.94,116.8601403,9795,7205,5358,8287,10145,4.178636112,3,1,38.295,4.63,3.755,1
43,0,2,12.5,43.53,122.4856099,13595,8515,9625,7131,7667,5.122108174,3,1,40.265,6.045,3.115,1
44,1,2,2,41.77,171.0718152,8085,5435,3946,16814,9347,4.680773046,2,1,40.35,3.91,4.56,1
44,0,2,2,39.47,136.0691618,9522,11486,6995,7043,6357,4.159258811,2,1,38.84,4.805,3.88,1
45,1,2,1.5,64.285,105.8180826,13302,12870,10880,18167,12756,4.191569426,2,1,63.865,8.025,7.49,1
45,0,2,1.5,113.05,113.3827739,40836,16950,19693,31818,23624,8.414403343,133,1,105.46,24.32,8.84,1
46,1,2,7,27.94,115.4196822,5111,2868,4590,5568,7279,4.540784701,1,1,26.875,2.795,2.93,1
46,0,2,7,38.59,95.60487312,10455,7819,7444,7771,7024,4.18518723,1,1,38.48,4.37,3.865,1
47,1,2,5.5,85.51,224.4316825,24740,19424,16140,21123,17369,6.202685631,21,1,82.165,20.95,7.885,1
47,0,2,5.5,97.97,183.6856624,17283,27392,21922,13810,21009,30.25668319,83,1,81.2,6.83,1.8,1
48,1,2,3.5,51.495,213.1023949,10167,13787,12547,8802,6583,5.120178151,2,1,50.67,8.93,7.395,1
48,0,2,3.5,40.59,485.7450085,7411,10001,10729,1440,24004,3.253854588,4,1,40.225,12.245,7.235,1
49,1,2,8,33.97,92.82966697,7279,8829,8791,3093,5083,4.158825374,1,1,33.435,2.005,3.375,1
49,0,2,8,40.505,130.5251112,10564,11359,7956,6492,6201,4.510080395,1,1,40.345,4.43,4.165,1
50,1,2,3.5,76.92,112.8087228,19557,13941,15945,18086,15613,4.296453865,2,1,74.775,16.825,8.88,1
50,0,2,3.5,86.305,150.1727352,36296,18761,18229,12617,11839,4.850979333,12,1,82.095,18.69,10.165,1
5,1,2,7,31.33,193.6573036,8041,4859,6816,7135,3640,4.787626003,1,1,31.265,2.675,2.37,1
5,0,2,7,28.43,198.9291787,7363,6061,6782,3624,5203,4.866861387,1,1,28.275,2.07,2.595,1
51,1,2,0.5,34.15,238.1388671,4192,10179,7060,7297,7239,4.44223382,1,1,33.115,3.335,3.505,1
51,0,2,0.5,32.995,188.2600645,8761,3315,6671,7180,7672,4.71681727,21,1,27.66,3.26,2.805,1
52,1,2,1,34.565,119.0806111,5694,6065,4491,11304,9098,4.436528341,2,1,34.055,4.105,2.65,1
52,0,2,1,51.075,112.5856533,14320,8397,9008,12368,10806,4.558257958,2,1,50.31,8.025,4.765,1
53,1,2,7,66.165,94.62894863,12129,13939,9598,19401,16451,4.142826702,2,1,65.975,9.59,10.14,1
53,0,2,7,62.64,142.6358656,21606,10874,9130,12681,12251,4.302327428,2,1,62.325,10.14,9.025,1
54,1,2,8,19.22,188.7139704,5482,3631,2537,3769,3907,4.044741966,1,1,19.075,1.235,1.85,1
54,0,2,8,19.065,201.9241884,3679,3645,4194,3741,3640,4.082428898,1,1,18.935,0.29,1.855,1
55,1,2,14,92.295,85.59640178,17755,35666,20061,19128,13995,4.275692272,2,2,91.81,22.14,16.505,1
55,0,2,14,69.18,174.3072809,15075,8705,6391,24179,19568,4.284922894,1,2,68.85,11.68,11.115,1
56,1,2,0.5,26.675,127.0903386,6202,4666,3794,5293,8012,4.122616237,1,1,26.515,3.63,3.115,1
56,0,2,0.5,23.025,233.4192482,5719,3428,4523,5750,5301,4.24933733,0,1,23.025,2.905,1.98,1
57,1,2,8,18.115,214.7960584,4759,3205,2341,4083,6280,4.182525903,2,1,18.035,2.32,1.64,1
57,0,2,8,38.85,269.4014053,12021,6741,5558,7961,7580,4.38830039,1,1,38.735,2.74,4.33,1
58,1,2,5.5,81.795,167.4136821,18599,17073,15205,18316,18047,4.441692377,2,1,81.025,12.525,11.685,1
6,1,2,1,15.36,336.758706,3593,3949,3455,4032,2360,5.441032688,1,1,15.295,1.965,0.705,1
6,0,2,1,18.665,279.3736691,8896,1296,3701,2502,4938,5.547211287,2,1,17.59,1.75,0.785,1
7,1,2,0.5,30.04,225.5375186,8485,6694,5565,5781,6577,5.296093216,2,1,28.525,3.99,2.59,1
7,0,2,0.5,30.245,149.1084918,10262,5085,7235,4703,5719,5.218589077,3,1,29.45,3.67,2.13,1
8,1,2,1.5,29.72,203.2220587,6840,7622,1376,9876,5659,5.368308702,2,1,28.7,1.935,2.885,1
8,0,2,1.5,32.15,147.9440766,6985,6174,6903,6450,5783,4.645332048,1,1,32.105,1.015,3.435,1
9,1,2,7,23.935,117.6193777,7644,3719,5001,4640,3889,4.784715355,1,1,23.845,3.29,2.17,1
9,0,2,7,22.545,131.5667253,8890,4829,4176,3437,3420,4.778408452,2,1,22.47,2.695,1.81,1
